system,observable,snr_db,trial,tau,dim,lyap_max,kse_ub,lyap_spec,rmse
lorenz63_xhighsnr,x_smooth_100,100.0,2,130,7,0.055213812738657,0.055213812738657,0.0552;-0.0093;-0.1040;-0.3248,7.387179598024971
lorenz63_xhighsnr,z_smooth_5,1000.0,0,20,7,0.135439321398735,0.1639026850461959,0.1354;0.0285;-0.0266;-0.1352,5.087167965921903
lorenz63_xhighsnr,z_smooth_5,1000.0,1,20,7,0.135439321398735,0.1639026850461959,0.1354;0.0285;-0.0266;-0.1352,5.226382631412618
lorenz63_xhighsnr,z_smooth_5,1000.0,2,20,7,0.135439321398735,0.1639026850461959,0.1354;0.0285;-0.0266;-0.1352,5.043452062989906
lorenz63_xhighsnr,z_smooth_5,100.0,0,20,7,0.042731899768114,0.042731899768114,0.0427;-0.0174;-0.1264;-0.3079,5.107097243875736
lorenz63_xhighsnr,z_smooth_5,100.0,1,20,7,0.0444663129746913,0.0444663129746913,0.0445;-0.0177;-0.1276;-0.3037,5.223038337629383
lorenz63_xhighsnr,z_smooth_5,100.0,2,20,7,0.0447529479861259,0.0447529479861259,0.0448;-0.0169;-0.1276;-0.2964,5.100498536265466
lorenz63_xhighsnr,z_smooth_25,1000.0,0,20,7,0.1062784194946289,0.1479673087596893,0.1063;0.0417;-0.0407;-0.1506,5.120046224250009
lorenz63_xhighsnr,z_smooth_25,1000.0,1,20,7,0.1062784194946289,0.1479673087596893,0.1063;0.0417;-0.0407;-0.1506,5.163571768231711
lorenz63_xhighsnr,z_smooth_25,1000.0,2,20,7,0.1062784194946289,0.1479673087596893,0.1063;0.0417;-0.0407;-0.1506,4.973977684745611
lorenz63_xhighsnr,z_smooth_25,100.0,0,20,7,0.0419503152370452,0.0419503152370452,0.0420;-0.0092;-0.1138;-0.3375,4.979736638248956
lorenz63_xhighsnr,z_smooth_25,100.0,1,20,7,0.0416348651051521,0.0416348651051521,0.0416;-0.0088;-0.1185;-0.3289,5.075081064175497
lorenz63_xhighsnr,z_smooth_25,100.0,2,20,7,0.0409466437995433,0.0409466437995433,0.0409;-0.0080;-0.1148;-0.3276,4.871371960086066
lorenz63_xhighsnr,z_smooth_100,1000.0,0,40,7,0.0978107005357742,0.1331180036067962,0.0978;0.0353;-0.0324;-0.1593,6.457719044197777
lorenz63_xhighsnr,z_smooth_100,1000.0,1,40,7,0.0978107005357742,0.1331180036067962,0.0978;0.0353;-0.0324;-0.1593,6.8081225465669695
lorenz63_xhighsnr,z_smooth_100,1000.0,2,40,7,0.0978107005357742,0.1331180036067962,0.0978;0.0353;-0.0324;-0.1593,6.361678117342928
lorenz63_xhighsnr,z_smooth_100,100.0,0,40,7,0.0855261236429214,0.1018929779529571,0.0855;0.0164;-0.0539;-0.3104,6.787683405036365
lorenz63_xhighsnr,z_smooth_100,100.0,1,40,7,0.0860198810696601,0.1035821512341499,0.0860;0.0176;-0.0542;-0.3090,6.741698751814694
lorenz63_xhighsnr,z_smooth_100,100.0,2,40,7,0.0864309296011924,0.102751612663269,0.0864;0.0163;-0.0549;-0.3067,6.3011246537552985
lorenz63_xhighsnr,dxdt,1000.0,0,20,7,0.07428440451622,0.1173328161239624,0.0743;0.0430;-0.0673;-0.1380,6.611811403042154
lorenz63_xhighsnr,dxdt,1000.0,1,20,7,0.07428440451622,0.1173328161239624,0.0743;0.0430;-0.0673;-0.1380,6.1825812084074405
lorenz63_xhighsnr,dxdt,1000.0,2,20,7,0.07428440451622,0.1173328161239624,0.0743;0.0430;-0.0673;-0.1380,5.738388399427493
lorenz63_xhighsnr,dxdt,100.0,0,20,7,0.0495789125561714,0.0495789125561714,0.0496;-0.0023;-0.1098;-0.2942,5.9179812962713525
lorenz63_xhighsnr,dxdt,100.0,1,20,7,0.0483346320688724,0.0483346320688724,0.0483;-0.0028;-0.1054;-0.2834,5.739986283894806
lorenz63_xhighsnr,dxdt,100.0,2,20,7,0.0480669885873794,0.0480669885873794,0.0481;-0.0021;-0.1081;-0.2829,5.245999065114985
lorenz63_xhighsnr,dzdt,1000.0,0,20,7,0.0692452564835548,0.1002055779099464,0.0692;0.0310;-0.0434;-0.1337,5.964015478158737
lorenz63_xhighsnr,dzdt,1000.0,1,20,7,0.0692452564835548,0.1002055779099464,0.0692;0.0310;-0.0434;-0.1337,5.988349014879075
lorenz63_xhighsnr,dzdt,1000.0,2,20,7,0.0692452564835548,0.1002055779099464,0.0692;0.0310;-0.0434;-0.1337,5.916856145340558
lorenz63_xhighsnr,dzdt,100.0,0,20,7,0.0600814409554004,0.0600814409554004,0.0601;-0.0119;-0.0920;-0.3471,5.92963989231067
lorenz63_xhighsnr,dzdt,100.0,1,20,7,0.0602572374045848,0.0602572374045848,0.0603;-0.0121;-0.0898;-0.3431,5.978045783807284
lorenz63_xhighsnr,dzdt,100.0,2,20,7,0.0608810745179653,0.0608810745179653,0.0609;-0.0124;-0.0890;-0.3391,5.904103322666448
lorenz63_xhighsnr,d2xdt2,1000.0,0,10,7,0.0757480263710022,0.1109588891267776,0.0757;0.0352;-0.0934;-0.1708,5.210252647629623
lorenz63_xhighsnr,d2xdt2,1000.0,1,10,7,0.0757480263710022,0.1109588891267776,0.0757;0.0352;-0.0934;-0.1708,5.019353045923006
lorenz63_xhighsnr,d2xdt2,1000.0,2,10,7,0.0757480263710022,0.1109588891267776,0.0757;0.0352;-0.0934;-0.1708,4.741362529560055
lorenz63_xhighsnr,d2xdt2,100.0,0,10,7,0.0538241490721702,0.0576616674661636,0.0538;0.0038;-0.1123;-0.2965,5.204829903741109
lorenz63_xhighsnr,d2xdt2,100.0,1,10,7,0.0531995333731174,0.0576766654849052,0.0532;0.0045;-0.1132;-0.3057,3.735723396446847
lorenz63_xhighsnr,d2xdt2,100.0,2,10,7,0.0528788156807422,0.057293601334095,0.0529;0.0044;-0.1103;-0.3018,5.200720705767592
lorenz63_xhighsnr,x_squared,1000.0,0,20,7,0.0663425549864769,0.0918676555156707,0.0663;0.0255;-0.0704;-0.1750,5.778736757889526
lorenz63_xhighsnr,x_squared,1000.0,1,20,7,0.0663425549864769,0.0918676555156707,0.0663;0.0255;-0.0704;-0.1750,5.8620487545285025
lorenz63_xhighsnr,x_squared,1000.0,2,20,7,0.0663425549864769,0.0918676555156707,0.0663;0.0255;-0.0704;-0.1750,5.80658134434578
lorenz63_xhighsnr,x_squared,100.0,0,20,7,0.0547746121883392,0.0547746121883392,0.0548;-0.0013;-0.1114;-0.3720,5.8139245248129265
lorenz63_xhighsnr,x_squared,100.0,1,20,7,0.0533539466559886,0.0533539466559886,0.0534;-0.0019;-0.1135;-0.3684,5.7903434499205035
lorenz63_xhighsnr,x_squared,100.0,2,20,7,0.0542349629104137,0.0542349629104137,0.0542;-0.0010;-0.1156;-0.3661,5.750512902039181
lorenz63_xhighsnr,z_squared,1000.0,0,20,7,0.0688862577080726,0.0826415121555328,0.0689;0.0138;-0.0561;-0.1558,5.456071708881568
lorenz63_xhighsnr,z_squared,1000.0,1,20,7,0.0688862577080726,0.0826415121555328,0.0689;0.0138;-0.0561;-0.1558,5.450782948928224
lorenz63_xhighsnr,z_squared,1000.0,2,20,7,0.0688862577080726,0.0826415121555328,0.0689;0.0138;-0.0561;-0.1558,5.3483191435613415
lorenz63_xhighsnr,z_squared,100.0,0,20,7,0.043658934533596,0.043658934533596,0.0437;-0.0215;-0.1449;-0.3042,5.530669711088429
lorenz63_xhighsnr,z_squared,100.0,1,20,7,0.0432858020067215,0.0432858020067215,0.0433;-0.0202;-0.1456;-0.3108,5.375529733724159
lorenz63_xhighsnr,z_squared,100.0,2,20,7,0.0440209470689296,0.0440209470689296,0.0440;-0.0200;-0.1451;-0.3004,5.553089452024674
